#,Author,Total Poems,Live,Verse Daily,Poetry Daily,RALP,Slowdown
2764,Michael Lavers,1,,1,,,
2765,Daniel Lawless,3,,3,,,
2766,Gregory Lawless,2,,2,,,
2767,D.H. Lawrence,7,6,,,,1
2768,JonArno Lawson,1,,,,,1
2769,Len Lawson,1,,1,,,
2770,Michael T. Lawson,1,,,,1,
2771,Shayla Lawson,2,,2,,,
2772,Shayla Lawz,1,,,,,1
2773,Jenna Le,4,,3,,1,
2774,Sydney Lea,3,,3,,,
2775,Yvonne Higgins Leach,1,,1,,,
2776,Mary Leader,1,,1,,,
2777,Anna Leahy,1,,1,,,
2778,Angelina Leaños,1,,,1,,
2779,Susan L. Leary,2,,2,,,
2780,Joseph Lease,1,,1,,,
2781,Stacie Leatherman,1,,1,,,
2782,Małgorzata Lebda,1,,,1,,
2783,Courtney LeBlanc,1,,,1,,
2784,Jean LeBlanc,1,,1,,,
2785,Bianca Lech,1,,1,,,
2786,Katy Lederer,4,,1,1,2,
2787,Ae Hee Lee,2,,,1,1,
2788,David Dodd Lee,10,,10,,,
2789,Donna J. Gelagotis Lee,1,,1,,,
2790,Ed Bok Lee,1,,,,,1
2791,Esther Lee,3,,2,1,,
2792,Jessi Lee,1,,1,,,
2793,John Robert Lee,1,,,1,,
2794,Karen An-Hwei Lee,7,,5,1,,1
2795,Li-Young Lee,12,,,1,9,2
2796,Joseph O. Legaspi,1,,,,,1
2797,Sylvia Legris,1,,,1,,
2798,David Lehman,3,,2,,,1
2799,Katie Lehman,1,,1,,,
2800,Rebecca Lehmann,7,,5,1,,1
2801,Christian Lehnert,1,,,1,,
2802,Yi Lei,3,,,2,,1
2803,Mark Leidner,2,,1,1,,
2804,Eric Leigh,1,,1,,,
2805,Eugenia Leigh,3,,,,2,1
2806,Angela Leighton,1,,,1,,
2807,Hailey Leithauser,4,,4,,,
2808,Amy Lemmon,1,,,,,1
2809,Alex Lemon,4,,3,,,1
2810,Gary Lemons,1,,1,,,
2811,Joseph Lennon,1,,1,,,
2812,Lester Graves Lennon,1,,,,,1
2813,Kelly Lenox,1,,,1,,
2814,Stephanie Lenox,1,,1,,,
2815,Genine Lentine,1,,1,,,
2816,Teresa Leo,2,,2,,,
2817,Ulalume González de León,3,,,3,,
2818,Keith Leonard,4,,1,1,,2
2819,Rodney Terich Leonard,2,,,1,,1
2820,Michael Leong,1,,1,,,
2821,Karen Lepri,1,,1,,,
2822,Eleanor Lerman,2,,2,,,
2823,Ben Lerner,2,,1,1,,
2824,Linda Lerner,2,,2,,,
2825,Peter Cook and Kenny Lerner,1,,,1,,
2826,Shara Lessley,4,,2,1,,1
2827,William Letford,1,,,1,,
2828,Henry Wei Leung,1,,1,,,
2829,Donald Levering,2,,2,,,
2830,Denise Levertov,4,,,1,3,
2831,Dana Levin,5,,2,,,3
2832,Harriet Levin,1,,1,,,
2833,Lynn Levin,3,,3,,,
2834,Phillis Levin,3,,2,,,1
2835,Stephanie Levin,1,,1,,,
2836,Jeffrey Levine,1,,1,,,
2837,Julia B. Levine,1,,1,,,
2838,Mark Levine,2,,1,1,,
2839,Miriam Levine,1,,1,,,
2840,Philip Levine,8,,1,1,2,4
2841,Jen Levitt,2,,,1,,1
2842,Rich Levy,1,,1,,,
2843,Robert J. Levy,1,,1,,,
2844,erica lewis,2,,,,,2
2845,Eva Lewis,1,,1,,,
2846,J. Patrick Lewis,1,,1,,,
2847,Lisa Lewis,5,,5,,,
2848,Michelle Lewis,1,,1,,,
2849,Paige Lewis,2,,,,1,1
2850,Robin Coste Lewis,2,,,,1,1
2851,Susan Lewis,1,,1,,,
2852,Jane Lewty,2,,2,,,
2853,Steven Leyva,1,,,1,,
2854,Dong Li,1,,,1,,
2855,Xiaoly Li,2,,2,,,
2856,Alice Liang,1,,,,,1
2857,Ibe Liebenberg,2,,1,1,,
2858,t. liem,3,,,1,,2
2859,Carol Light,1,,1,,,
2860,Kate Light,6,,1,,5,
2861,Annie Lighthart,1,,1,,,
2862,Jennifer Lighty,1,,1,,,
2863,Kabel Mishka Ligot,1,,,,,1
2864,Ye Lijun,1,,,1,,
2865,Gary Copeland Lilley,1,,1,,,
2866,Bliss Cua Lim,2,,,,2,
2867,Kate Lim,1,,1,,,
2868,Kathryne Lim,1,,1,,,
2869,Sandra Lim,5,,2,1,2,
2870,Shirley Geok-lin Lim,1,,,,,1
2871,Ananda Lima,1,,,1,,
2872,Joanne Limburg,1,,1,,,
2873,Ada Limón,12,,3,,6,3
2874,by Ada Limón,1,,,,1,
2875,Esther Lin,1,,,1,,
2876,Michelle Lin,1,,,,,1
2877,Willie Lin,3,,1,1,,1
2878,Rebecca Lindenberg,2,,,,,2
2879,April Lindner,2,,2,,,
2880,Frannie Lindsay,2,,2,,,
2881,Nina Lindsay,1,,1,,,
2882,David Linebarger,1,,1,,,
2883,Belle Ling,1,,,1,,
2884,Jenny Liou,1,,,1,,
2885,Daniel Lipara,1,,,1,,
2886,Matthew Lippman,2,,1,,,1
2887,Ewa Lipska,1,,,1,,
2888,Paul Lisicky,2,,2,,,
2889,Zefyr Lisowski,2,,2,,,
2890,S.J. Litherland,1,,1,,,
2891,Martina Litty,1,,,1,,
2892,Anni Liu,1,,,1,,
2893,Timothy Liu,2,,1,,,1
2894,David Livewell,1,,1,,,
2895,Eros Livieratos,1,,1,,,
2896,Janiru Liyanage,1,,,,,1
2897,Karen Llagas,2,,1,,,1
2898,Luljeta Lleshanaku,1,,,,,1
2899,Cecilia Llompart,2,,2,,,
2900,Fran Lock,1,,1,,,
2901,Ian U Lockaby,3,,,3,,
2902,Christopher Locke,2,,2,,,
2903,Duane Locke,2,,2,,,
2904,Mariama J. Lockington,1,,,,,1
2905,Tim Lockridge,2,,2,,,
2906,Diane Lockward,4,,3,,1,
2907,Patricia Lockwood,1,,1,,,
2908,Theresa Lola,1,,,,,1
2909,Anthony Thomas Lombardi,1,,1,,,
2910,Alexander Long,1,,1,,,
2911,Nancy Chen Long,3,,3,,,
2912,Priscilla Long,1,,1,,,
2913,Rachel Long,2,,,,,2
2914,James Longenbach,4,,,4,,
2915,Sandy Longhorn,2,,2,,,
2916,Michael Longley,1,,,1,,
2917,Marilyn Longstaff,1,,1,,,
2918,Lynn Lonidier,1,,,1,,
2919,dawn lonsinger,5,,5,,,
2920,George Looney,3,,3,,,
2921,Antonio de Jesús López,3,,,1,,2
2922,Chloë Joan López,1,,1,,,
2923,J. Estanislao Lopez,5,,,2,,3
2924,Kyle Carrero Lopez,1,,,,,1
2925,Pura López-Colomé,1,,,,,1
2926,Luis Lopez-Maldonado,1,,1,,,
2927,Federico García Lorca,3,,,1,,2
2928,Dave Lordan,1,,1,,,
2929,Audre Lorde,1,,,,1,
2930,Johnny Lorenz,1,,,,,1
2931,Éireann Lorsung,3,,2,1,,
2932,Jack e Lorts,1,,1,,,
2933,Marjorie Lotfi,1,,,1,,
2934,Angie Sijun Lou,2,,,,1,1
2935,Rebecca Loudon,1,,1,,,
2936,Cameron Quan Louie,1,,,1,,
2937,Bojan Louis,1,,1,,,
2938,Nabila Lovelace,1,,1,,,
2939,Jane Lovell,1,,,1,,
2940,Denton Loving,1,,1,,,
2941,Denise Low,1,,1,,,
2942,Lisa Low,2,,1,,,1
2943,Bridget Lowe,2,,1,1,,
2944,Hannah Lowe,2,,,,,2
2945,Janice A. Lowe,1,,1,,,
2946,Paula C. Lowe,1,,1,,,
2947,Robert Lowell,2,1,,,,1
2948,Emily Lee Luan,2,,,2,,
2949,Alejandro Lucero,1,,1,,,
2950,Lucretius,1,,1,,,
2951,Raymond Luczak,1,,1,,,
2952,Susan Ludvigson,1,,1,,,
2953,Marni Ludwig,1,,1,,,
2954,Kristin Lueke,2,,1,,1,
2955,Diana Lueptow,1,,1,,,
2956,Mike Luke,2,,2,,,
2957,Maja Lukic,1,,,,,1
2958,Suzanne Lummis,1,,,,,1
2959,Roddy Lumsden,3,,3,,,
2960,Claudia Castro Luna,1,,1,,,
2961,Sheryl Luna,1,,,,,1
2962,Robert Lunday,1,,1,,,
2963,Dorothy Lune,1,,1,,,
2964,Augusto Lunel,1,,,1,,
2965,Adrian Lürssen,1,,,1,,
2966,Lindsay Lusby,1,,1,,,
2967,Glenna Luschei,1,,1,,,
2968,Tariq Luthun,1,,,,,1
2969,"Kateryna Kalytko, translated from the Ukrainian by Olena Jennings and Oksana Lutsyshyna",1,,,,,1
2970,Brian Lutz,2,,2,,,
2971,Thomas Lux,2,,1,,1,
2972,Alessandra Lynch,2,,2,,,
2973,Erin Marie Lynch,4,,,2,,2
2974,Kathleen Lynch,1,,1,,,
2975,Robert Wood Lynn,5,,3,2,,
2976,Eamonn Lynskey,1,,1,,,
2977,Jacqueline Lyons,2,,2,,,
2978,M. L. Lyons,1,,1,,,
2979,Richard Lyons,2,,2,,,
2980,Javier Peñalosa M.,1,,,1,,
2981,Hosam Maarouf,1,,,,1,
2982,Anne Marie Macari,2,,1,1,,
2983,Jami Macarty,2,,1,1,,
2984,Laurie J MacDiarmid,1,,1,,,
2985,Rob MacDonald,1,,1,,,
2986,Gwendolyn MacEwen,1,,,,1,
2987,Aditi Machado,2,,,2,,
2988,Mairi MacInnes,1,,1,,,
2989,Jennifer MacKenzie,1,,1,,,
2990,Margaret Mackinnon,1,,1,,,
2991,Amy MacLennan,2,,2,,,
2992,Louis MacNeice,2,,,,1,1
2993,Angie Macri,7,,7,,,
2994,Billi MacTighe,1,,1,,,
2995,Ed Madden,1,,1,,,
2996,Marjorie Maddox,5,,5,,,
2997,Mary Madec,1,,1,,,
2998,Haki R. Madhubuti,1,,,,,1
2999,Ruth Madievsky,1,,1,,,
3000,Tamara Madison,1,,1,,,
3001,Michael David Madonick,1,,1,,,
3002,y madrone,3,,3,,,
3003,Nikola Madzirov,1,,1,,,
3004,Michael Magee,3,,3,,,
3005,Al Maginnes,5,,5,,,
3006,Moira Magneson,1,,1,,,
3007,Busisiwe Mahlangu,1,,,,,1
3008,Gregory Mahrer,1,,1,,,
3009,Nguyễn Phan Quế Mai,1,,,1,,
3010,Circe Maia,1,,,,,1
3011,Jennifer Maier,2,,1,,,1
3012,Mark Maire,1,,1,,,
3013,Maitreyabandhu,1,,,1,,
3014,Jidi Majia,1,,,1,,
3015,Amit Majmudar,1,,1,,,
3016,Clarence Major,2,,,,,2
3017,Heather Maki,1,,1,,,
3018,Oksana Maksymchuk,7,,5,2,,
3019,Peter Makuck,1,,1,,,
3020,Gerard Malanga,1,,1,,,
3021,Shikha Malaviya,1,,1,,,
3022,Jennie Malboeuf,3,,2,1,,
3023,Ricardo Alberto Maldonado,1,,,1,,
3024,Dora Malech,6,,5,,,1
3025,Mia Ayumi Malhotra,1,,,1,,
3026,Anna Malihon,1,,,1,,
3027,Laila Malik,1,,,1,,
3028,Stephen Malin,3,,3,,,
3029,M. Malmîsanij,1,,,1,,
3030,Afrizal Malna,1,,,1,,
3031,Erin Malone,5,,5,,,
3032,Jessica Manack,1,,1,,,
3033,Angela Manalang-Gloria,12,,,,12,
3034,Franca Mancinelli,2,,2,,,
3035,Charlotte Mandel,1,,1,,,
3036,Osip Mandelstam,1,,,1,,
3037,Sequoia Maner,1,,,1,,
3038,Sarah Manguso,3,,,1,,2
3039,Jamie Manias,1,,,1,,
3040,Cynthia Manick,1,,1,,,
3041,Nathan Manley,1,,1,,,
3042,John Mann,1,,1,,,
3043,Randall Mann,6,,4,1,,1
3044,Rachel Mannheimer,1,,,1,,
3045,Dawn Manning,3,,3,,,
3046,Katie Manning,2,,2,,,
3047,Maurice Manning,6,,3,1,,2
3048,Caroline Manring,2,,2,,,
3049,Katherine Mansfield,1,,,,,1
3050,Joyce Mansour,3,,1,2,,
3051,Olumide Manuel,1,,,1,,
3052,Sally Wen Mao,4,,2,1,,1
3053,Caroline M. Mar,1,,,1,,
3054,Salgado Maranhão,2,,,2,,
3055,Michael O. Marberry,1,,1,,,
3056,Djelloul Marbrook,4,,4,,,
3057,Char March,1,,,,1,
3058,Thomas March,1,,1,,,
3059,Carl Marcum,1,,1,,,
3060,Jacqueline Marcus,3,,3,,,
3061,Morton Marcus,1,,1,,,
3062,Gary Margolis,1,,,,,1
3063,Clint Margrave,4,,4,,,
3064,Annie Marhefka,1,,,,,1
3065,Aurielle Marie,2,,,1,,1
3066,Ivy Marie,1,,1,,,
3067,Michael Mark,2,,2,,,
3068,Malinda Markham,1,,1,,,
3069,Donald Markos,1,,1,,,
3070,Corey Marks,5,,2,2,,1
3071,Gigi Marks,3,,3,,,
3072,Justin Marks,3,,1,,,2
3073,Debra Marquart,1,,,,,1
3074,Gretchen Marquette,2,,1,,,1
3075,Francisco Márquez,2,,,,,2
3076,Valeria Román Marroquín,2,,,2,,
3077,Christine Marshall,1,,1,,,
3078,J. W. Marshall,2,,2,,,
3079,Maya Marshall,2,,,1,,1
3080,Nate Marshall,1,,,,,1
3081,Etienne Marsolet,1,,,1,,
3082,Melania Luisa Marte,2,,,,,2
3083,Jennifer Martelli,4,,4,,,
3084,Dawn Lundy Martin,6,,,1,,5
3085,Diane Kirsten Martin,2,,2,,,
3086,Gail Martin,3,,2,1,,
3087,Hugh Martin,2,,2,,,
3088,John Martin,1,,1,,,
3089,Jynne Dilling Martin,1,,1,,,
3090,Chloe Martinez,3,,,1,,2
3091,David Tomas Martinez,1,,1,,,
3092,J. Michael Martinez,3,,1,1,,1
3093,Eduardo Martínez-Leyva,2,,,1,,1
3094,Gessica Sakamoto Martini,1,,1,,,
3095,Cate Marvin,4,,2,1,,1
3096,Katie Marya,2,,,1,,1
3097,Beth Marzoni,1,,1,,,
3098,Monica Berlin & Beth Marzoni,1,,1,,,
3099,Siwar Masannat,1,,1,,,
3100,Roy Mash,1,,1,,,
3101,Donna Masini,1,,,,,1
3102,David Mason,1,,1,,,
3103,Joseph Massey,1,,1,,,
3104,Stephen Massimilla,6,,6,,,
3105,Edgar Lee Masters,20,20,,,,
3106,Adrian Matejka,3,,,2,,1
3107,Louise Mathias,2,,2,,,
3108,Irène Mathieu,1,,,,1,
3109,Cleopatra Mathis,1,,,1,,
3110,Khaled Mattawa,2,,1,1,,
3111,Sarah Matthes,1,,,1,,
3112,Airea D. Matthews,3,,,1,,2
3113,Christopher Matthews,2,,2,,,
3114,Clay Matthews,2,,2,,,
3115,William Matthews,1,,1,,,
3116,Chris Mattingly,1,,1,,,
3117,Farid Matuk,1,,,1,,
3118,Michelle Matz,1,,1,,,
3119,Matt Mauch,2,,2,,,
3120,Jonathan Maule,1,,,,,1
3121,Caroline Maun,1,,1,,,
3122,Richard Maxson,1,,,,,1
3123,Glyn Maxwell,1,,,,,1
3124,Kristi Maxwell,3,,3,,,
3125,Jamaal May,4,,1,,1,2
3126,James Davis May,7,,5,1,,1
3127,Wong May,1,,,1,,
3128,Bernadette Mayer,4,,,2,1,1
3129,Michaela Mayer,1,,,1,,
3130,Edward Mayes,1,,1,,,
3131,Sydney Mayes,1,,1,,,
3132,Micheline Maylor,2,,2,,,
3133,Tim Mayo,1,,1,,,
3134,Friederike Mayröcker,1,,,1,,
3135,Trapeta B. Mayson,2,,,,,2
3136,Donovan McAbee,1,,,,,1
3137,Jett McAlister,1,,1,,,
3138,Victoria McArtor,1,,1,,,
3139,Brendan McBreen,1,,1,,,
3140,Joan McBreen,1,,1,,,
3141,Amber McBride,1,,,1,,
3142,Timothy McBride,1,,1,,,
3143,Melanie McCabe,4,,4,,,
3144,Susan McCabe,1,,1,,,
3145,Kerrin McCadden,2,,1,,,1
3146,Shara McCallum,2,,1,1,,
3147,Amy McCann,1,,1,,,
3148,Janet Lacey McCann,2,,2,,,
3149,Alysse Kathleen McCanna,3,,3,,,
3150,John McCarthy,1,,,,,1
3151,Michael McCarthy,1,,1,,,
3152,Thomas McCarthy,1,,1,,,
3153,Todd McCarty,1,,1,,,
3154,Jennifer Maritza McCauley,1,,1,,,
3155,Nathan McClain,4,,1,1,,2
3156,Jen McClanaghan,1,,1,,,
3157,Kathleen McClung,1,,1,,,
3158,Meghan McClure,1,,1,,,
3159,Aaron McCollough,5,,3,2,,
3160,Davis McCombs,1,,1,,,
3161,Marty McConnell,4,,4,,,
3162,Kyle McCord,4,,4,,,
3163,Clint McCown,3,,3,,,
3164,Erin L. McCoy,1,,,1,,
3165,Shane McCrae,9,,5,3,,1
3166,Chris McCreary,1,,1,,,
3167,Laura McCullough,3,,3,,,
3168,Jeffrey McDaniel,7,,1,,5,1
3169,Raymond McDaniel,2,,2,,,
3170,Beth McDermott,1,,1,,,
3171,Sharon Fagan McDermott,1,,1,,,
3172,Anne Haven McDonnell,1,,1,,,
3173,Jill McDonough,5,,,,,5
3174,Jo McDougall,1,,1,,,
3175,Gary McDowell,6,,6,,,
3176,Colleen J. McElroy,1,,1,,,
3177,Andrew McFadyen-Ketchum,1,,,,,1
3178,Gardner McFall,1,,1,,,
3179,Michael McFee,2,,2,,,
3180,Cameron McGill,1,,,1,,
3181,Karyna McGlynn,4,,3,1,,
3182,Michelle McGrane,1,,1,,,
3183,Campbell McGrath,5,,3,1,,1
3184,Michael McGriff,3,,2,1,,
3185,Medbh McGuckian,4,,3,1,,
3186,Eric McHenry,1,,1,,,
3187,Ashley Anna McHugh,1,,1,,,
3188,Heather McHugh,2,,1,,,1
3189,Becka McKay,1,,1,,,
3190,Claude McKay,2,,,,,2
3191,Freesia McKee,2,,,,,2
3192,Laura McKee,1,,1,,,
3193,Marc McKee,6,,6,,,
3194,Stephanie McKenzie,1,,1,,,
3195,Rachel McKibbens,5,,1,,1,3
3196,Joshua McKinney,4,,4,,,
3197,Sarah McKinstry-Brown,1,,1,,,
3198,Nicholas McLachlan,1,,1,,,
3199,Maureen N. McLane,3,,,2,,1
3200,Michael McLane,2,,1,1,,
3201,Rose McLarney,6,,2,2,,2
3202,M.B. McLatchey,1,,1,,,
3203,Damon McLaughlin,1,,1,,,
3204,Owen McLeod,2,,2,,,
3205,Mark McMorris,1,,1,,,
3206,Sheila McMullin,1,,1,,,
3207,Elizabeth McMunn-Tetangco,1,,,,,1
3208,Wesley McNair,2,,2,,,
3209,Robert Aquinas McNally,1,,1,,,
3210,Robert McNamara,1,,1,,,
3211,Sandra McPherson,2,,1,1,,
3212,Kate McQuade,1,,1,,,
3213,Kelly McQuain,1,,1,,,
3214,Claire McQuerry,1,,,1,,
3215,Nick McRae,1,,1,,,
3216,Joyelle McSweeney,3,,,3,,
3217,Gail Waldstein M.D.,1,,1,,,
3218,Jane Mead,3,,,,2,1
3219,Lucien Darjeun Meadows,1,,,1,,
3220,Silvina López Medin,1,,,1,,
3221,Sarah María Medina,1,,,,,1
3222,Zachary Medlin,1,,1,,,
3223,Paula Meehan,2,,1,1,,
3224,Anna George Meek,1,,1,,,
3225,Sandra Meek,3,,3,,,
3226,Mariam Meetra,1,,,1,,
3227,James Meetze,1,,1,,,
3228,Momtaza Mehri,1,,,,1,
3229,Diane Mehta,1,,,,,1
3230,Lo Kwa Mei-en,4,,3,,,1
3231,Caits Meissner,1,,1,,,
3232,Anna Meister,1,,1,,,
3233,Erika Meitner,12,,10,,,2
3234,Lynn Melnick,3,,1,1,,1
3235,Philip Memmer,2,,2,,,
3236,Jasminne Mendez,1,,,,,1
3237,Paula Mendoza,2,,,,,2
3238,Helen Meneilly,1,,,,1,
3239,Orlando Ricardo Menes,2,,1,,,1
3240,Amy Meng,1,,1,,,
3241,Siddhartha Menon,1,,,1,,
3242,Michelle Menting,2,,2,,,
3243,Melissa Atkinson Mercer,1,,1,,,
3244,William Meredith,1,,,,,1
3245,Mary Meriam,3,,3,,,
3246,Christopher Merrill,1,,1,,,
3247,Jeredith Merrin,1,,1,,,
3248,Andrew Merton,2,,2,,,
3249,Kathryn Merwin,1,,1,,,
3250,W. S. Merwin,19,,6,,10,3
3251,Helena Mesa,1,,1,,,
3252,Henri Meschonnic,1,,,1,,
3253,Susie Meserve,1,,1,,,
3254,Corey Mesler,1,,1,,,
3255,Sharon Mesmer,1,,1,,,
3256,Sarah Messer,1,,1,,,
3257,Philip Metres,4,,1,2,,1
3258,Jennifer Metsker,1,,1,,,
3259,Mitchell Metz,2,,2,,,
3260,Elizabeth Metzger,4,,2,1,1,
3261,Claire Meuschke,1,,,1,,
3262,Charlotte Mew,1,,,,,1
3263,Elisabeth Meyer,1,,1,,,
3264,Nadine Sabra Meyer,1,,1,,,
3265,Michael Meyerhofer,8,,7,,1,
3266,Bert Meyers,4,,,3,,1
3267,Lewis Meyers,1,,1,,,
3268,Susan Meyers,1,,1,,,
3269,Miguelángel Meza,1,,,1,,
3270,Emma Miao,1,,,,1,
3271,Judy Rowe Michaels,2,,2,,,
3272,Timothy Michalik,1,,,1,,
3273,Sara Michas-Martin,2,,2,,,
3274,Noah Michelson,1,,1,,,
3275,Richard Michelson,1,,1,,,
3276,Seth Michelson,1,,1,,,
3277,Camasin Middour,1,,1,,,
3278,Tiffany Midge,1,,1,,,
3279,Dunya Mikhail,1,,,,1,
3280,olga mikolaivna,1,,,1,,
3281,Richard Milazzo,2,,2,,,
3282,Michael Milburn,1,,1,,,
3283,Joseph V. Milford,1,,1,,,
3284,Zewdu Milikit,1,,,1,,
3285,Jennifer Militello,5,,5,,,
3286,Joseph Millar,5,,2,2,,1
3287,Edna St. Vincent Millay,16,8,,,4,4
3288,Amy Miller,1,,1,,,
3289,Andrew Miller,1,,1,,,
3290,Carly Joy Miller,1,,1,,,
3291,Carolyn Miller,1,,1,,,
3292,Chloe Yelena Miller,1,,,,,1
3293,E. Ethelbert Miller,1,,,,,1
3294,Jane Miller,1,,,1,,
3295,Jennifer Stewart Miller,1,,1,,,
3296,Kevin Miller,1,,1,,,
3297,Leslie Adrienne Miller,2,,2,,,
3298,Malcolm Miller,1,,1,,,
3299,Matt W. Miller,2,,1,,,1
3300,Nora Claire Miller,1,,,1,,
3301,Pamela Miller,1,,1,,,
3302,Sara Miller,1,,1,,,
3303,Sid Miller,1,,1,,,
3304,Wayne Miller,11,,9,,,2
3305,Devon Miller-Duggan,1,,1,,,
3306,Claire Millikin,7,,7,,,
3307,Maggie Millner,2,,,2,,
3308,David Mills,1,,,1,,
3309,Tyler Mills,4,,3,,,1
3310,A. A. Milne,1,,,,,1
3311,Czeslaw Milosz,4,,,,4,
3312,John Milton,12,11,,,,1
3313,Scott Minar,2,,2,,,
3314,John Minczeski,2,,1,,1,
3315,Matthew Minicucci,4,,3,,,1
3316,Chelsey Minnis,1,,,1,,
3317,Abby Minor,1,,1,,,
3318,Laura Minor,2,,1,1,,
3319,Czesław Miłosz,1,,,1,,
3320,Mir Taqi Mir,1,,,1,,
3321,Stan Mir,1,,1,,,
3322,Ben Mirov,1,,1,,,
3323,Peter Mishler,2,,1,1,,
3324,Felicia Mitchell,1,,1,,,
3325,Mark J. Mitchell,1,,1,,,
3326,Matt Mitchell,1,,1,,,
3327,Roger Mitchell,2,,2,,,
3328,Tangie Mitchell,1,,,1,,
3329,Thomas Mitchell,2,,2,,,
3330,Michael Mlekoday,2,,2,,,
3331,Ange Mlinko,2,,1,1,,
3332,Jose-Luis Moctezuma,1,,,1,,
3333,Brad Aaron Modlin,1,,,,,1
3334,Eileen Moeller,1,,1,,,
3335,Kelly Moffett,1,,1,,,
3336,Rosalie Moffett,3,,1,2,,
3337,Rajiv Mohabir,1,,1,,,
3338,K. Silem Mohammad,1,,,,,1
3339,Rooja Mohassessy,3,,1,1,,1
3340,Latiff Mohidin,2,,,,2,
3341,Sally Stewart Mohney,1,,1,,,
3342,Anis Mojgani,1,,,,1,
3343,Judith Mok,1,,1,,,
3344,Jenny Molberg,5,,4,,,1
3345,Carol Moldaw,3,,,1,,2
3346,Mary Molinary,1,,1,,,
3347,Kathryn Moll,1,,1,,,
3348,Sophie Mollart,1,,1,,,
3349,Daniela Naomi Molnar,1,,,1,,
3350,Ennio Moltedo,1,,,1,,
3351,Jean Monahan,1,,1,,,
3352,Noel Monahan,1,,1,,,
3353,Aja Monet,1,,,,,1
3354,Derek Mong,6,,6,,,
3355,Natasha Kochicheril Moni,1,,1,,,
3356,Ander Monson,2,,2,,,
3357,Jude Cowan Montague,1,,1,,,
3358,Keith Montesano,1,,1,,,
3359,Yesenia Montilla,4,,,,,4
3360,Michael Montlack,1,,,1,,
3361,Rodger Moody,2,,2,,,
3362,Trey Moody,2,,2,,,
3363,David Moolten,2,,2,,,
3364,Diane Lee Moomey,1,,1,,,
3365,Kamilah Aisha Moon,3,,1,,,2
3366,moonheart,1,,,,,1
3367,Yunkyo Moon-Kim,1,,,1,,
3368,Alan Jude Moore,1,,1,,,
3369,Berwyn Moore,1,,1,,,
3370,Carolyn Moore,1,,1,,,
3371,Devon Moore,2,,2,,,
3372,George Moore,1,,1,,,
3373,Honor Moore,1,,1,,,
3374,James Fujinami Moore,1,,,,,1
3375,Jennifer Moore,1,,1,,,
3376,Jim Moore,3,,,1,,2
3377,Joy Moore,1,,1,,,
3378,Julie L. Moore,3,,3,,,
3379,Marianne Moore,10,8,,,,2
3380,Mary B. Moore,2,,1,1,,
3381,Matthew Moore,1,,,1,,
3382,Richard O. Moore,1,,1,,,
3383,Sarah Kathryn Moore,1,,1,,,
3384,Pat Mora,1,,,,,1
3385,Aurora Levins Morales,1,,,,1,
3386,Juan J. Morales,2,,1,,,1
3387,Patrick Moran,1,,1,,,
3388,Pamela Mordecai,1,,,1,,
3389,Esther Morgan,1,,1,,,
3390,Jeffrey Morgan,5,,5,,,
3391,John Morgan,1,,1,,,
3392,Mamie Morgan,1,,,1,,
3393,Robert Morgan,1,,1,,,
3394,Saretta Morgan,1,,,1,,
3395,Shauna M. Morgan,1,,,,,1
3396,Tomás Q. Morín,2,,1,,,1
3397,Rachel Moritz,2,,2,,,
3398,Malena Mörling,1,,,,,1
3399,Blueberry Elizabeth Morningsnow,1,,1,,,
3400,Caridad Moro-Gronlier,2,,1,,,1
3401,Michelle Morouse,1,,1,,,
3402,Bee Morris,1,,,,1,
3403,Darren Morris,1,,1,,,
3404,Mary Morris,2,,1,,,1
3405,Brian D. Morrison,1,,1,,,
3406,Rusty Morrison,3,,2,1,,
3407,Sinead Morrissey,1,,,,,1
3408,Valzhyna Mort,1,,,,,1
3409,jamie mortara,1,,1,,,
3410,karla k. morton,2,,2,,,
3411,Matt Morton,4,,4,,,
3412,Rebecca Morton,1,,1,,,
3413,Mihaela Moscaliuc,3,,1,2,,
3414,Lauren Moseley,1,,1,,,
3415,Lena Moses-Schmitt,2,,,1,,1
3416,Cheryl Moskowitz,1,,1,,,
3417,Jennifer Moss,2,,2,,,
3418,Thylias Moss,1,,,,1,
3419,Travis Mossotti,3,,2,1,,
3420,Fred Moten,2,,1,1,,
3421,Andrew Motion,1,,,1,,
3422,Alicia Mountain,1,,,,,1
3423,Mohammed Moussa,1,,,,1,
3424,Sandra Moussempès,1,,,1,,
3425,Nikki Moustaki,1,,1,,,
3426,Jennifer Moxley,1,,,1,,
3427,Daniel Moysaenko,1,,1,,,
3428,Cheswayo Mphanza,1,,,,,1
3429,Du Fu; Li Shangyin; Du Mu,1,,,1,,
3430,Jenny Mueller,2,,2,,,
3431,Lisel Mueller,4,,,,,4
3432,Simone Muench,2,,2,,,
3433,Olivia Muenz,1,,,1,,
3434,Steve Mueske,1,,1,,,
3435,Dipika Mukherjee,2,,1,1,,
3436,Gala Mukomolova,1,,,,,1
3437,Tawanda Mulalu,3,,1,1,,1
3438,Paul Muldoon,5,,3,1,,1
3439,Rick Mulkey,1,,1,,,
3440,Harryette Mullen,4,,,1,,3
3441,Laura Mullen,1,,1,,,
3442,Pete Mullineaux,1,,1,,,
3443,Naomi Mulvihill,1,,1,,,
3444,Ottilie Mulzet,1,,1,,,
3445,Peggy Munson,1,,1,,,
3446,David Mura,1,,1,,,
3447,Sahar Muradi,4,,1,1,,2
